dataset,session_id,subject_id,analysis,contrast,effect_size_cliffs_delta,p_value,n_group_a,n_group_b,n_trials,status,evidence_level,p_value_bh
Legacy touchscreen multisensory object,rat-14_190130,rat-14,trial_task_structure_available,"task variables present, no trial activity",,,,,3,task_structure_only,legacy_trial_records_no_activity,
Legacy touchscreen multisensory object,rat-14_190131,rat-14,trial_task_structure_available,"task variables present, no trial activity",,,,,3,task_structure_only,legacy_trial_records_no_activity,
Legacy touchscreen multisensory object,rat-14_190205,rat-14,trial_task_structure_available,"task variables present, no trial activity",,,,,84,task_structure_only,legacy_trial_records_no_activity,
Legacy touchscreen multisensory object,rat-14_190207,rat-14,trial_task_structure_available,"task variables present, no trial activity",,,,,74,task_structure_only,legacy_trial_records_no_activity,
Legacy touchscreen multisensory object,rat-16_181012,rat-16,trial_task_structure_available,"task variables present, no trial activity",,,,,3,task_structure_only,legacy_trial_records_no_activity,
Legacy touchscreen multisensory object,rat-16_181015,rat-16,trial_task_structure_available,"task variables present, no trial activity",,,,,3,task_structure_only,legacy_trial_records_no_activity,
Legacy touchscreen multisensory object,rat-14_190202,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-14_190204,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-14_190206,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-16_181013,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-16_181016,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-16_181021,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-16_181022,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-16_181023,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-16_181024,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-16_181025,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-16_181029,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-26_190625,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-26_190626,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-26_190627,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-26_190702,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-27_191128,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-27_191204,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-27_191209,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
Legacy touchscreen multisensory object,rat-27_191210,,legacy_json_trial_extraction,no_trial_records_in_json,,,,,0,not_usable_for_trial_effects,json_summary_only,
