feature,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
metadata_completeness_score,-0.05481748841178454,-0.11110214219271969,0.05481748841178454,0.11110214219271969
ephys_richness_score,0.18878535464764612,-0.22435886826475798,0.18878535464764612,0.22435886826475798
behavior_richness_score,-0.25072120063925696,0.08837389757448008,0.25072120063925696,0.08837389757448008
openminds_readiness_score,-0.07512197014685068,-0.3615503116758159,0.07512197014685068,0.3615503116758159
cross_dataset_reuse_score,0.07536126056963853,-0.22477261708810337,0.07536126056963853,0.22477261708810337
data_analysis_potential_score,0.19850439307855403,0.00825335910483692,0.19850439307855403,0.00825335910483692
log_best_unit_count,-0.3149233149511504,-0.05730247017439451,0.3149233149511504,0.05730247017439451
log_best_spike_count,0.2882159818913948,0.11632961600088318,0.2882159818913948,0.11632961600088318
log_best_behavior_count,0.21391347245944267,0.20641334118370874,0.21391347245944267,0.20641334118370874
log_n_lfp_channels,-0.08466558051622644,0.38515397781687843,0.08466558051622644,0.38515397781687843
log_n_electrodes,-0.18047370372302632,-0.33168026678176465,0.18047370372302632,0.33168026678176465
log_n_trials,-0.18475288945517457,0.32625277335333364,0.18475288945517457,0.32625277335333364
log_n_event_times_total,-0.1615772136025272,0.31642304371137403,0.1615772136025272,0.31642304371137403
log_n_position_samples,0.2951014646249416,-0.02281254646340101,0.2951014646249416,0.02281254646340101
log_recording_duration_s,0.3260118679797759,-0.020595750604802624,0.3260118679797759,0.020595750604802624
log_spikes_per_unit,0.3018383087277732,0.1023266281016921,0.3018383087277732,0.1023266281016921
log_units_per_minute,0.27371415510188746,-0.022190024671807203,0.27371415510188746,0.022190024671807203
log_spikes_per_minute,0.32675121436969085,-0.02044433741743709,0.32675121436969085,0.02044433741743709
log_events_per_trial,-0.13049547170641465,0.2904263661151029,0.13049547170641465,0.2904263661151029
log_lfp_channels_per_unit,0.11151674498002777,0.2007352882539133,0.11151674498002777,0.2007352882539133
log_electrodes_per_unit,-0.15542715104013863,-0.2947706502142469,0.15542715104013863,0.2947706502142469
