feature,importance
n_bins_median,0.18244263882313844
duration_s_median,0.16938507255082946
curve_early_mean,0.09316193745788584
curve_initial_distance,0.08561783286111986
curve_mean_distance,0.08103882612040446
curve_late_mean,0.07178814904437751
curve_auc,0.06471049723742105
curve_final_distance,0.06305865638135906
toi_mean,0.027493126378873037
n_units_available,0.027090482818983012
repeat_toi_mean,0.022213234027478608
repeat_toi_median,0.019248529535149845
repeat_toi_std,0.018049703525865702
toi_median,0.01706308684643807
repeat_toi_iqr,0.015498746748939304
curve_late_minus_early,0.015241827196726891
toi_std,0.014566530606985498
curve_slope_raw,0.01233112183802442
